"","GEO.Summary","Operating.Airline"
"4703","International","Asiana Airlines"
"4704","International","British Airways"
"4705","International","British Airways"
"4706","International","Cathay Pacific"
"4707","International","Cathay Pacific"
"4708","International","China Airlines"
"4709","International","China Airlines"
"4710","Domestic","Delta Air Lines"
"4711","Domestic","Delta Air Lines"
"4712","International","EVA Airways"
"4713","International","EVA Airways"
"4714","Domestic","Frontier Airlines"
"4715","Domestic","Frontier Airlines"
"4716","Domestic","Hawaiian Airlines"
"4717","Domestic","Hawaiian Airlines"
"4718","Domestic","Horizon Air "
"4719","Domestic","Horizon Air "
"4720","International","Japan Airlines"
"4721","International","Japan Airlines"
"4722","International","Jet Airways"
"4723","International","Jet Airways"
"4724","Domestic","JetBlue Airways "
"4725","Domestic","JetBlue Airways "
"4726","International","KLM Royal Dutch Airlines"
"4727","International","KLM Royal Dutch Airlines"
"4728","International","Korean Air Lines"
"4729","International","Korean Air Lines"
"4730","International","Lufthansa German Airlines"
"4731","International","Lufthansa German Airlines"
"4732","International","Mexicana Airlines"
"4733","International","Mexicana Airlines"
"4734","Domestic","Midwest Airlines"
"4735","Domestic","Midwest Airlines"
"4736","Domestic","Northwest Airlines"
"4737","Domestic","Northwest Airlines"
"4738","Domestic","Northwest Airlines"
"4739","International","Northwest Airlines"
"4740","International","Northwest Airlines"
"4741","International","Philippine Airlines"
"4742","International","Philippine Airlines"
"4743","International","Qantas Airways"
"4744","International","Qantas Airways"
"4745","International","Singapore Airlines"
"4746","International","Singapore Airlines"
"4747","Domestic","SkyWest Airlines"
"4748","Domestic","SkyWest Airlines"
"4749","Domestic","SkyWest Airlines"
"4750","Domestic","SkyWest Airlines"
"4751","International","SkyWest Airlines"
"4752","International","SkyWest Airlines"
"4753","International","SkyWest Airlines"
"4754","Domestic","Southwest Airlines"
"4755","Domestic","Southwest Airlines"
"4756","Domestic","Southwest Airlines"
"4757","Domestic","Sun Country Airlines"
"4758","Domestic","Sun Country Airlines"
